product_id,sku,product_name,category,subcategory,brand,uom,unit_cost,unit_price,weight_kg,is_discontinued,created_date
1,SKU-TF-00001,Transmission Filter M - BrandB Series-1,TRANSMISSION_FILTER,TRANSMISSION_M,BrandB,EA,27.45,49.41,1.36,false,2025-11-28
2,SKU-TF-00002,Transmission Filter M - BrandE Pro,TRANSMISSION_FILTER,TRANSMISSION_M,BrandE,EA,12.62,22.72,1.11,false,2022-01-22
3,SKU-EF-00003,Engine Filter S - BrandC Series-2,ENGINE_FILTER,ENGINE_S,BrandC,EA,17.45,20.94,1.31,false,2025-11-09
4,SKU-EF-00004,Engine Filter XL - BrandG Series-1,ENGINE_FILTER,ENGINE_XL,BrandG,EA,18.7,22.44,1.11,false,2024-10-07
5,SKU-EF-00005,Engine Filter S - BrandG Series-2,ENGINE_FILTER,ENGINE_S,BrandG,EA,10.33,13.95,0.67,false,2023-01-18
6,SKU-CF-00006,Cabin Filter S - BrandC Series-3,CABIN_FILTER,CABIN_S,BrandC,EA,8.86,15.95,1.05,false,2025-07-01
7,SKU-FF-00007,Fuel Filter XL - BrandC Max,FUEL_FILTER,FUEL_XL,BrandC,EA,9.59,21.1,1.72,false,2024-02-17
8,SKU-OF-00008,Oil Filter L - BrandD Series-3,OIL_FILTER,OIL_L,BrandD,EA,10.36,12.43,0.8,false,2025-08-03
9,SKU-EF-00009,Engine Filter XL - BrandB Series-1,ENGINE_FILTER,ENGINE_XL,BrandB,EA,14.03,30.87,1.26,false,2023-05-18
10,SKU-EF-00010,Engine Filter M - BrandB Pro,ENGINE_FILTER,ENGINE_M,BrandB,BOX,13.75,18.56,1.05,false,2023-09-11
11,SKU-AF-00011,Air Filter S - BrandC Series-2,AIR_FILTER,AIR_S,BrandC,EA,5.57,6.68,0.71,false,2023-06-10
12,SKU-EF-00012,Engine Filter L - BrandH Max,ENGINE_FILTER,ENGINE_L,BrandH,EA,18.39,27.59,1.69,false,2025-01-28
13,SKU-OF-00013,Oil Filter L - BrandD Pro,OIL_FILTER,OIL_L,BrandD,EA,8.93,10.72,0.24,false,2024-01-31
14,SKU-TF-00014,Transmission Filter XL - BrandB Max,TRANSMISSION_FILTER,TRANSMISSION_XL,BrandB,EA,14.43,19.48,1.37,false,2024-05-03
15,SKU-OF-00015,Oil Filter S - BrandC Series-3,OIL_FILTER,OIL_S,BrandC,BOX,7.36,11.04,1.04,false,2023-12-16
16,SKU-EF-00016,Engine Filter L - BrandD Series-1,ENGINE_FILTER,ENGINE_L,BrandD,EA,13.74,16.49,0.91,false,2023-09-14
17,SKU-CF-00017,Cabin Filter XL - BrandG Max,CABIN_FILTER,CABIN_XL,BrandG,EA,10.08,15.12,0.37,false,2024-02-25
18,SKU-AF-00018,Air Filter M - BrandB Series-2,AIR_FILTER,AIR_M,BrandB,EA,8.33,11.25,0.59,false,2023-07-20
19,SKU-TF-00019,Transmission Filter L - BrandF Series-3,TRANSMISSION_FILTER,TRANSMISSION_L,BrandF,EA,17.32,23.38,1.03,false,2022-09-21
20,SKU-OF-00020,Oil Filter S - BrandA Series-3,OIL_FILTER,OIL_S,BrandA,EA,9.84,21.65,0.62,false,2025-04-18
21,SKU-CF-00021,Cabin Filter L - BrandG Pro,CABIN_FILTER,CABIN_L,BrandG,EA,11.02,14.88,0.27,true,2023-05-21
22,SKU-CF-00022,Cabin Filter M - BrandC Series-1,CABIN_FILTER,CABIN_M,BrandC,EA,12.26,16.55,0.38,false,2025-04-05
23,SKU-CF-00023,Cabin Filter S - BrandH Series-2,CABIN_FILTER,CABIN_S,BrandH,EA,8.8,10.56,0.73,false,2022-02-14
24,SKU-OF-00024,Oil Filter S - BrandA Series-3,OIL_FILTER,OIL_S,BrandA,EA,11.73,17.59,0.69,false,2023-07-19
25,SKU-AF-00025,Air Filter M - BrandA Pro,AIR_FILTER,AIR_M,BrandA,BOX,7.68,10.37,0.7,false,2022-01-22
26,SKU-TF-00026,Transmission Filter S - BrandB Max,TRANSMISSION_FILTER,TRANSMISSION_S,BrandB,EA,15.64,18.77,1.44,false,2022-11-25
27,,Air Filter XL - BrandC Series-3,AIR_FILTER,AIR_XL,BrandC,EA,8.95,7.2,0.6,false,2022-07-30
28,SKU-EF-00028,Engine Filter L - BrandA Pro,ENGINE_FILTER,ENGINE_L,BrandA,BOX,19.39,42.66,1.54,false,2023-05-30
29,SKU-AF-00029,Air Filter M - BrandG Series-1,AIR_FILTER,AIR_M,BrandG,BOX,7.15,12.87,0.89,false,2022-03-20
30,SKU-CF-00030,Cabin Filter S - BrandH Series-1,CABIN_FILTER,CABIN_S,BrandH,EA,6.61,9.92,0.53,false,2025-02-19
31,SKU-CF-00031,Cabin Filter XL - BrandF Series-3,CABIN_FILTER,CABIN_XL,BrandF,EA,14.71,17.65,0.36,false,2024-04-03
32,SKU-EF-00032,Engine Filter L - BrandH Max,ENGINE_FILTER,ENGINE_L,BrandH,BOX,13.45,16.14,1.73,false,2025-08-23
33,SKU-EF-00033,Engine Filter M - BrandA Series-1,ENGINE_FILTER,ENGINE_M,BrandA,EA,15.55,20.99,1.89,false,2023-12-07
34,SKU-TF-00034,Transmission Filter XL - BrandD Series-2,TRANSMISSION_FILTER,TRANSMISSION_XL,BrandD,EA,18.81,28.21,2.72,false,2024-12-03
35,SKU-FF-00035,Fuel Filter S - BrandG Pro,FUEL_FILTER,FUEL_S,BrandG,EA,14.31,21.46,1.8,false,2023-07-11
36,SKU-EF-00036,Engine Filter L - BrandA Series-1,ENGINE_FILTER,ENGINE_L,BrandA,EA,8.01,12.02,1.21,false,2023-01-18
37,SKU-OF-00037,Oil Filter XL - BrandE Series-3,OIL_FILTER,OIL_XL,BrandE,EA,7.77,11.65,1.15,false,2023-04-22
38,SKU-AF-00038,Air Filter S - BrandB Pro,AIR_FILTER,AIR_S,BrandB,EA,9.33,14.0,0.73,false,2022-09-22
